4.0 	-21903.7668426 	-76.57162123 	-21827.1952214
3.95 	-21903.7673253 	-76.57162145 	-21827.1957038
3.9 	-21903.7677637 	-76.57162127 	-21827.1961425
3.85 	-21903.7681577 	-76.57162089 	-21827.1965368
3.8 	-21903.7684959 	-76.57162117 	-21827.1968747
3.75 	-21903.7687651 	-76.57162147 	-21827.1971436
3.7 	-21903.7689582 	-76.57162125 	-21827.197337
3.65 	-21903.7690655 	-76.57162091 	-21827.1974445
3.6 	-21903.7690763 	-76.57162118 	-21827.1974551
3.55 	-21903.7689789 	-76.57162147 	-21827.1973574
3.5 	-21903.7687588 	-76.5716213 	-21827.1971375
3.45 	-21903.7684059 	-76.57162097 	-21827.1967849
3.4 	-21903.7679039 	-76.57162111 	-21827.1962828
3.35 	-21903.7672303 	-76.57162147 	-21827.1956088
3.3 	-21903.7663718 	-76.57162134 	-21827.1947505
3.25 	-21903.7653099 	-76.57162102 	-21827.1936888
3.2 	-21903.7640229 	-76.57162107 	-21827.1924018
3.15 	-21903.7624972 	-76.57162146 	-21827.1908757
3.1 	-21903.7607075 	-76.57162137 	-21827.1890861
3.05 	-21903.7586337 	-76.57162103 	-21827.1870127
3.0 	-21903.7562624 	-76.57162102 	-21827.1846414
2.95 	-21903.7535679 	-76.57162138 	-21827.1819465
2.9 	-21903.7505287 	-76.57162138 	-21827.1789073
2.85 	-21903.7471271 	-76.57162099 	-21827.1755061
2.8 	-21903.7433402 	-76.57162103 	-21827.1717192
2.75 	-21903.739149 	-76.57162138 	-21827.1675277
2.7 	-21903.7345358 	-76.57162138 	-21827.1629144
2.65 	-21903.7294749 	-76.57162103 	-21827.1578539
2.6 	-21903.7239397 	-76.57162101 	-21827.1523187
2.55 	-21903.7178998 	-76.57162138 	-21827.1462784
2.5 	-21903.7113035 	-76.5716214 	-21827.1396821
